name,cos_day,sin_day,days_since_launch,is_anniversary,is_new_years,is_summer,overspec,element_Electric,element_Fire,element_Iron,element_Water,element_Wind
Sakura: Bloom In Summer,-0.9983150972033183,-0.05802556932878035,0.4436256448047163,0,0,1,0,0,0,0,0,1
Rosanna: Chic Ocean,-0.984115542601034,-0.17752914918703497,0.4487840825350037,0,0,1,0,0,0,0,0,1
Ein,-0.9133704517637858,-0.4071294853542516,0.4591009579955785,0,0,1,0,1,0,0,0,0
Zwei,-0.7899045386224707,-0.6132298262997502,0.4694178334561533,0,0,0,0,1,0,0,0,0
Rei Ayanami,-0.5221776766595088,-0.852836721769459,0.4848931466470155,0,0,0,0,0,1,0,0,0
Rouge,-0.18704334906991657,-0.9823516608469237,0.5003684598378777,0,0,0,0,1,0,0,0,0
Quency: Escape Queen,0.05265805692461312,-0.9986126020839734,0.5106853352984525,1,0,0,0,0,0,0,1,0
Phantom,0.172236243027682,-0.9850556718215013,0.5158437730287398,1,0,0,0,0,0,0,1,0
Rumani,0.28931997761869527,-0.957232443323312,0.5210022107590273,1,0,0,0,0,1,0,0,0
Cinderella,0.5092820071573356,-0.8605996962501181,0.5313190862196021,1,0,0,0,1,0,0,0,0
Grave,0.6089746507720486,-0.7931896839451843,0.5364775239498895,1,0,0,0,0,1,0,0,0
Flora,0.7805849965070866,-0.6250496486104377,0.5467943994104643,1,0,0,0,1,0,0,0,0
Maiden: Ice Rose,0.9071390534005044,-0.42083100859565564,0.5571112748710391,0,1,0,0,1,0,0,0,0
Guillotine: Winter Slayer,0.9511229423235357,-0.30881248126625377,0.5622697126013264,0,1,0,0,0,0,0,1,0
Rapi: Red Hood,0.9998520419557735,0.017201575418260506,0.5770081061164333,0,1,0,1,0,1,0,0,0
Mana,0.9623603298276545,0.2717767384711357,0.5880619012527635,0,1,0,0,0,0,0,0,1
Mast: Romantic Maid,0.8697638720650646,0.49346814167723735,0.5983787767133383,0,1,0,0,0,0,0,1,0
Anchor: Innocent Maid,0.804187157621448,0.5943761565849831,0.6035372144436256,0,0,0,0,0,0,0,1,0
Asuka Shikinami Langley: Wille,0.6392116531380589,0.769030859258918,0.6138540899042004,0,0,0,0,0,0,0,0,1
Rei Ayanami (Tentative Name),0.5422021592729844,0.8402480696078469,0.6190125276344879,0,0,0,0,0,0,0,0,1
Trina,0.3261441535642696,0.945320046913132,0.6293294030950627,0,0,0,0,1,0,0,0,0
Bready,0.09126072172931188,0.9958270335100595,0.6396462785556374,0,0,0,0,0,0,0,1,0
Crust,-0.1488903868564546,0.9888537064205885,0.6499631540162122,1,0,0,0,0,0,0,1,0
Little Mermaid,-0.38044736628785186,0.9248025743285089,0.660280029476787,1,0,0,0,0,0,0,0,1
Mihara: Bonding Chain,-0.48878539428899226,0.8724040568049615,0.6654384672070744,1,0,0,1,0,1,0,0,0
Arcana,-0.6827580970759147,0.7306444969184916,0.6757553426676493,1,0,0,0,1,0,0,0,0
K,-0.8373211953118121,0.5467112728685939,0.686072218128224,1,0,0,0,1,0,0,0,0
Eve,-0.9435531242349544,0.3312212278016865,0.6963890935887989,0,0,1,0,0,0,1,0,0
Raven,-0.976508846196619,0.21547731504673012,0.7015475313190862,0,0,1,0,0,0,1,0,0
Sora,-0.9997202729664083,-0.023651127245231586,0.711864406779661,0,0,1,0,0,0,0,0,1
Dorothy: Serendipity,-0.965226663665613,-0.2614143985111562,0.7221812822402358,0,0,1,0,0,0,0,1,0
Elegg: Boom And Shock,-0.9268343944460492,-0.37547037868762057,0.7273397199705232,0,0,1,0,0,0,0,1,0
Emma: Tactical Upgrade,-0.8105309990194823,-0.5856957398073508,0.737656595431098,0,0,0,0,0,1,0,0,0
Eunhwa: Tactical Upgrade,-0.734304263829602,-0.6788204829862355,0.7428150331613854,0,0,0,0,0,1,0,0,0
Vesti: Tactical Upgrade,-0.6474427960827475,-0.7621140503891487,0.7479734708916728,0,0,0,0,0,1,0,0,0
Ade: Agent Bunny,-0.44698342951967496,-0.8945422369764492,0.7582903463522476,0,0,0,0,0,0,1,0,0
Milk: Blooming Bunny,-0.3362887301766837,-0.9417589340994614,0.763448784082535,0,0,0,0,0,0,1,0,0
Ada Wong,-0.11905873003405076,-0.9928872135356961,0.7730287398673544,0,0,0,0,1,0,0,0,0
Jill Valentine,0.018276557681691223,-0.999832969770105,0.7789240972733972,1,0,0,0,1,0,0,0,0
Delta: Ninja Thief,0.2562218218071163,-0.9666180104000972,0.789240972733972,1,0,0,0,0,0,0,1,0
Nayuta,0.4793776594606945,-0.8776087166898392,0.7995578481945468,1,0,0,0,0,0,0,0,1
Liberalio,0.5813300798152042,-0.8136678304455991,0.8047162859248342,1,0,0,0,0,0,0,0,1
Soline: Frost Ticket,0.75862255966641,-0.6515303615068021,0.815033161385409,1,0,0,0,0,0,0,1,0
Diesel: Winter Sweets,0.8921264484954345,-0.451785789832884,0.8253500368459837,0,1,0,0,0,1,0,0,0
Brid: Silent Track,0.9339267592294762,-0.3574644155648614,0.8297715549005158,0,1,0,0,0,1,0,0,0
Snow White: Heavy Arms,0.9999907524084426,-0.004300592702982862,0.8452468680913781,0,1,0,0,0,0,0,1,0
Label,0.9711394088771653,0.23851257519407645,0.8555637435519529,0,1,0,0,0,0,1,0,0
Velvet,0.8781236129591848,0.4784338202547012,0.866617538688283,0,1,0,0,0,0,0,0,1
Chisato Nishikigi,0.7501537286959042,0.6612634749656385,0.8761974944731025,0,0,0,0,0,0,1,0,0
Takina Inoue,0.6652865452111115,0.7465881145324131,0.8813559322033898,0,0,0,0,0,0,1,0,0
E.H.,0.45274469960737107,0.8916401947968874,0.89240972733972,0,0,0,0,0,0,0,0,1
Arcana: Fortune Mate,0.22701082094141847,0.9738922359149924,0.9027266028002948,0,0,0,0,0,1,0,0,0
Snow Crane,-0.13185851571739118,0.9912685467787256,0.918201915991157,1,0,0,0,0,0,0,1,0
Anis: Star,-0.3484108069446806,0.9373419384643773,0.9277818717759764,1,0,0,1,1,0,0,0,0
Neon: Vision Eye,-0.45848712914008805,0.8887010478292913,0.9329403095062638,1,0,0,1,1,0,0,0,0
Mint,-0.6700888411055113,0.742280907086982,0.9439941046425939,1,0,0,0,0,0,1,0,0
Prika,-0.8277930117131022,0.5610336262283677,0.9543109801031687,1,0,0,0,0,0,0,1,0
Ark Ranger Black,-0.9377159910299093,0.3474028211842774,0.9646278555637435,0,0,1,0,0,0,0,0,1
Cinderella: Crystal Wave,-0.9999791929590823,-0.00645086419810515,0.9801031687546058,0,0,1,0,0,0,1,0,0
Marciana: Marine Study,-0.9939927684469582,-0.10944576864891511,0.9845246868091379,0,0,1,0,0,0,1,0,0
Laplace: Ultimate Hero,-0.9331559438780433,-0.3594718130884228,0.9955784819454679,0,0,1,0,0,0,0,0,1
Maxwell: Ordinary Mechanic,-0.891152910406309,-0.45370308603134385,1.0,0,0,1,0,0,0,0,0,1
